Date,High,Low,Open,Close,Volume,Adj Close,5MA,10MA,20MA,60MA,120MA,cross,weekday,Up,Close_ratio,Body
2004-12-20,1.1785709857940674,1.102856993675232,1.1691069602966309,1.1200000047683716,1168126400.0,0.9590275287628174,0.9934618592262268,0.9863670706748963,0.9887293815612793,0.8149795403083165,0.6588853262364864,0.004732477664947443,0,1,-0.03492872625569552,0.04910695552825928
2004-12-21,1.1387499570846558,1.100000023841858,1.1349999904632568,1.1373209953308103,1064414400.0,0.9738587141036988,0.9885687351226806,0.98759024143219,0.9905183494091034,0.8216462333997091,0.6628850899636746,-0.0019496142864228183,1,1,0.015465170079192023,-0.002321004867553489
2004-12-22,1.1492860317230225,1.1321430206298828,1.1367859840393066,1.1383930444717407,565829600.0,0.9747770428657532,0.9839510798454285,0.9883089482784271,0.9924144119024276,0.8281982620557149,0.6670479630430539,-0.008463332056999118,2,1,0.0009426091185616186,-0.001607060432434082
2004-12-23,1.1473209857940674,1.135714054107666,1.1383930444717407,1.1430360078811646,245929600.0,0.978752613067627,0.9760306000709533,0.9883395314216614,0.992383873462677,0.8346534599860509,0.6712605265279611,-0.016353273391723655,3,0,0.004078524049291207,-0.004642963409423828
2004-12-27,1.1633930206298828,1.1228569746017456,1.157142996788025,1.127856969833374,559490400.0,0.9657548666000366,0.9704341530799866,0.9852966725826263,0.9913211405277252,0.8408741931120555,0.6754361336429914,-0.020886987447738647,0,1,-0.01327957994597893,0.02928602695465088
2004-12-28,1.1473209857940674,1.1080360412597656,1.130357027053833,1.146070957183838,611755200.0,0.9813516139984132,0.9748989701271057,0.9841804146766663,0.9880642473697663,0.8473752468824387,0.679773572832346,-0.013165277242660589,1,1,0.01614919962161048,-0.015713930130004883
2004-12-29,1.1603569984436035,1.135179042816162,1.139464020729065,1.1507140398025513,449562400.0,0.9853270053863524,0.9771926283836365,0.9828806817531586,0.9860688209533691,0.8539119760195414,0.6841581545770168,-0.0088761925697326,2,1,0.004051304668013322,-0.011250019073486328
2004-12-30,1.1612499952316284,1.1467859745025637,1.1573209762573242,1.157142996788025,345340800.0,0.9908316731452942,0.9804035544395446,0.9821773171424866,0.9837828665971756,0.8603926380475362,0.6887020148336888,-0.003379312157630987,3,0,0.005586928431477871,0.0001779794692993164
2004-12-31,1.160714030265808,1.1433930397033691,1.158750057220459,1.149999976158142,278588800.0,0.9847157597541808,0.9815961837768554,0.9788133919239044,0.9831636309623718,0.86644772986571,0.6931847135225931,-0.0015674471855163796,4,0,-0.00617298004629529,0.008750081062316895
2005-01-03,1.1626789569854736,1.1178569793701172,1.1567859649658203,1.1301790475845337,691992000.0,0.9677435159683228,0.9819939136505127,0.9762140333652496,0.983630022406578,0.8724798858165741,0.6974801080922286,-0.0016361087560653464,0,1,-0.017235590421336433,0.02660691738128662
